Strain,Dye,Spore number,Measurement,Value
VF 11,Hematoxylin,1,length,5.63
VF 11,Hematoxylin,1,width,1.56
VF 11,Hematoxylin,2,length,6.95
VF 11,Hematoxylin,2,width,1.56
VF 11,Hematoxylin,3,length,5.77
VF 11,Hematoxylin,3,width,1.97
VF 11,Hematoxylin,4,length,5.73
VF 11,Hematoxylin,4,width,1.65
VF 11,Hematoxylin,5,length,5.47
VF 11,Hematoxylin,5,width,1.83
VF 11,Hematoxylin,6,length,5.94
VF 11,Hematoxylin,6,width,1.78
VF 11,Hematoxylin,7,length,5.45
VF 11,Hematoxylin,7,width,1.39
VF 11,Hematoxylin,8,length,5.77
VF 11,Hematoxylin,8,width,1.92
VF 11,Hematoxylin,9,length,5.37
VF 11,Hematoxylin,9,width,1.73
VF 11,Hematoxylin,10,length,5.07
VF 11,Hematoxylin,10,width,1.43
VF 11,Hematoxylin,11,length,5.62
VF 11,Hematoxylin,11,width,1.73
VF 11,Hematoxylin,12,length,5.3
VF 11,Hematoxylin,12,width,1.51
VF 11,Hematoxylin,13,length,5.54
VF 11,Hematoxylin,13,width,1.72
VF 11,Hematoxylin,14,length,6.13
VF 11,Hematoxylin,14,width,1.95
VF 11,Hematoxylin,15,length,5.57
VF 11,Hematoxylin,15,width,1.74
VF 11,Hematoxylin,16,length,6.55
VF 11,Hematoxylin,16,width,2.12
VF 11,Hematoxylin,17,length,6.24
VF 11,Hematoxylin,17,width,1.6
VF 11,Hematoxylin,18,length,5.41
VF 11,Hematoxylin,18,width,1.69
VF 11,Hematoxylin,19,length,4.81
VF 11,Hematoxylin,19,width,1.4
VF 11,Hematoxylin,20,length,5.8
VF 11,Hematoxylin,20,width,1.88
VF 11,Hematoxylin,21,length,6.03
VF 11,Hematoxylin,21,width,1.73
VF 11,Hematoxylin,22,length,6.05
VF 11,Hematoxylin,22,width,1.85
VF 11,Hematoxylin,23,length,7.01
VF 11,Hematoxylin,23,width,2.18
VF 11,Hematoxylin,24,length,5.92
VF 11,Hematoxylin,24,width,1.78
VF 11,Hematoxylin,25,length,6.23
VF 11,Hematoxylin,25,width,1.75
VF 11,Cotton Blue,1,length,5.81
VF 11,Cotton Blue,1,width,1.86
VF 11,Cotton Blue,2,length,4.53
VF 11,Cotton Blue,2,width,1.24
VF 11,Cotton Blue,3,length,5.11
VF 11,Cotton Blue,3,width,1.46
VF 11,Cotton Blue,4,length,3.7
VF 11,Cotton Blue,4,width,1.09
VF 11,Cotton Blue,5,length,4.34
VF 11,Cotton Blue,5,width,1.2
VF 11,Cotton Blue,6,length,4.28
VF 11,Cotton Blue,6,width,1.56
VF 11,Cotton Blue,7,length,4.94
VF 11,Cotton Blue,7,width,1.16
VF 11,Cotton Blue,8,length,5.17
VF 11,Cotton Blue,8,width,1.99
VF 11,Cotton Blue,9,length,6.14
VF 11,Cotton Blue,9,width,1.87
VF 11,Cotton Blue,10,length,4.47
VF 11,Cotton Blue,10,width,1.1
VF 11,Cotton Blue,11,length,4.5
VF 11,Cotton Blue,11,width,1.17
VF 11,Cotton Blue,12,length,4.1
VF 11,Cotton Blue,12,width,1.42
VF 11,Cotton Blue,13,length,4.57
VF 11,Cotton Blue,13,width,1.83
VF 11,Cotton Blue,14,length,6.15
VF 11,Cotton Blue,14,width,1.88
VF 11,Cotton Blue,15,length,4.83
VF 11,Cotton Blue,15,width,1.33
VF 11,Cotton Blue,16,length,4.63
VF 11,Cotton Blue,16,width,1.36
VF 11,Cotton Blue,17,length,4.41
VF 11,Cotton Blue,17,width,1.1
VF 11,Cotton Blue,18,length,4.62
VF 11,Cotton Blue,18,width,1.11
VF 11,Cotton Blue,19,length,4.13
VF 11,Cotton Blue,19,width,1.21
VF 11,Cotton Blue,20,length,5.14
VF 11,Cotton Blue,20,width,1.17
VF 11,Cotton Blue,21,length,4.78
VF 11,Cotton Blue,21,width,1.65
