Site,Site Isolate,Temperature,Replicate,Timepoint,Top,Bottom,Left,Right
BAF1,4,22,1,0,3.5,3,3,3
BAF1,4,22,1,2,3.5,4,4,4
BAF1,4,22,1,4,5,5,4.5,6
BAF1,4,22,1,6,7,8.5,7,8.5
BAF1,4,22,1,8,9,10.5,8,11
BAF1,4,22,1,10,10.5,13.5,10,12.5
BAF1,4,22,1,12,12.5,15,12,14
BAF1,4,22,1,14,14.5,16.5,14,16.5
UM1,6,22,1,0,4,4,3.5,4
UM1,6,22,1,2,5,5,4.5,4.5
UM1,6,22,1,4,6.5,6,5.5,6
VF4,5,22,1,0,3.5,3.5,3,2.5
VF4,5,22,1,2,3.5,4,3.5,4
VF4,5,22,1,4,5,6.5,6,6
VF4,5,22,1,6,7.5,9,8,8
VF4,5,22,1,8,10,11.5,10,10.5
VF4,5,22,1,10,12,13.5,12,12.5
VF4,5,22,1,12,14,16,14,15
VF4,5,22,1,14,16.5,17.5,16,17
BAF1,4,22,2,0,3.5,4,3,3.5
BAF1,4,22,2,2,4,4.5,3,4
BAF1,4,22,2,4,5.5,5.5,5,6
BAF1,4,22,2,6,7,8,8,8.5
BAF1,4,22,2,8,10,10,10,10.5
BAF1,4,22,2,10,13.5,12,11.5,13.5
BAF1,4,22,2,12,15,15,14,15
BAF1,4,22,2,14,16.5,16.5,16,17
UM1,6,22,2,0,3.5,3.5,3,4
VF4,5,22,2,0,3.5,4,3,3
VF4,5,22,2,2,4,6,3.5,5
VF4,5,22,2,4,6,7.5,5,6.5
VF4,5,22,2,6,7.5,10,7,9
VF4,5,22,2,8,9.5,12,9.5,11
VF4,5,22,2,10,13.5,14,12.5,14
VF4,5,22,2,12,15,16.5,14,16
VF4,5,22,2,14,16.5,19,15.5,17.5
BAF1,4,22,3,0,3.5,3.5,4,3
BAF1,4,22,3,2,4,4,4,4.5
BAF1,4,22,3,4,5,6.5,6,6
BAF1,4,22,3,6,8,9,9,8
BAF1,4,22,3,8,10,11,11,11
BAF1,4,22,3,10,12.5,13,13,12
BAF1,4,22,3,12,14.5,15,15,15
BAF1,4,22,3,14,16,17,16,17
VF4,5,22,3,0,4,3,3.5,3.5
VF4,5,22,3,2,4,4,4,5
VF4,5,22,3,4,5.5,5,5,6
VF4,5,22,3,6,8,7,6.5,8
VF4,5,22,3,8,10,8.5,8.5,10.5
VF4,5,22,3,10,12,11,11,12.5
VF4,5,22,3,12,14,13.5,13,15
VF4,5,22,3,14,16,14.5,14,16.5
BAF1,4,22,4,0,3,3,4,3
BAF1,4,22,4,2,3,4,4,3
BAF1,4,22,4,4,3,4,4,3
BAF1,4,22,4,6,3,9,4,6
BAF1,4,22,4,8,4,10,5,9
BAF1,4,22,4,10,6,12,8,10.5
BAF1,4,22,4,12,8,13,9,12.5
BAF1,4,22,4,14,10.5,15,11,14
UM1,6,22,4,0,3,4.5,4,3
UM1,6,22,4,2,4,5,6.5,4
UM1,6,22,4,4,5.5,6.5,8,5.5
VF4,5,22,4,0,3,3,4,3
VF4,5,22,4,2,3.5,5,5,4.5
BAF1,4,22,5,0,3.5,3,3,3
BAF1,4,22,5,2,4,4,4,4
BAF1,4,22,5,4,6,6,5.5,6
BAF1,4,22,5,6,8.5,8,7.5,9
BAF1,4,22,5,8,10,10.5,9,11
BAF1,4,22,5,10,13,12,11,14
BAF1,4,22,5,12,15,14,13,16
BAF1,4,22,5,14,17,16,15,17.5
UM1,6,22,5,0,4,3,3.5,3.5
UM1,6,22,5,2,4.5,4,4,4
UM1,6,22,5,4,5.5,4.5,5,5
VF4,5,22,5,0,3.5,3,3,3.5
VF4,5,22,5,2,3.5,4,4,5
VF4,5,22,5,6,5,8,5,8.5
VF4,5,22,5,8,6,10,6,10.5
VF4,5,22,5,10,9,12,8.5,12.5
VF4,5,22,5,12,12,14,11,15.5
VF4,5,22,5,14,14,16,13,17
