Group Number,Morphology,Needle status,EHS Status,Fungus status,Bleach,Sterilization replicate,Site,Sample,Isolate,Collection ID,Molecular ID,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,No,1,UM,2,4,1,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,No,2,VF,4,2,2,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,Yes,1,UM,1,2,3,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Negative,Yes,1,UM,1,1,4,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Negative,Yes,2,BAF,2,2,7,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Negative,Yes,2,BAF,2,3,8,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,Yes,3,BAF,1,2,9,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,Yes,2,BAF,2,4,6,Nigrospora oryzae,
1,White projections to lid with dark surface and underside,Healthy,Positive,Positive,Yes,2,BAF,2,5,5,Nigrospora oryzae,
2,Waves of white growth that turn dark green,Healthy,Positive,Positive,Yes,2,BAF,2,1,13,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green,Healthy,Positive,Positive,Yes,3,BAF,1,1,10,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green,Healthy,Positive,Negative,Yes,3,VF,4,2,11,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green,Healthy,Positive,Positive,Yes,2,BAF,2,3,12,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green,Dead,Negative,Negative,Yes,3,BAF,2,4,14,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green,Healthy,Positive,Positive,Yes,3,BAF,1,5,15,Pestalotiopsis maculans,
2,Waves of white growth that turn dark green to black,Healthy,Positive,Positive,Yes,3,BAF,1,3,16,Pestalotiopsis maculans,
3,Waves of white growth that turn dark green to black,Healthy,Positive,Positive,No,2,VF,4,2,17,,
3,Waves of white growth that turn dark green to black,Dead,Negative,Negative,Yes,2,MRO,3,3,19,,
3,Waves of white growth that turn dark green to black,Healthy,Positive,Positive,No,2,VF,4,4,20,,
3,Waves of white growth that turn dark green to black,Healthy,Positive,Positive,Yes,2,BAF,2,4,18,,
4,Mottled orange-to-pink flat colonies with orange-to-pink underside; some red droplets,Healthy,Positive,Positive,Yes,1,UM,1,2,21,,
