Genus,Species,Source,Strain,Location ,TUB 2,18s rRNA / SSU,28s rRNA / LSU,"ITS (5.8S, ITS 1 and 2)",EF1-alpha ,RpB1,RpB2
Conoideocrella,luteorostrata,Artjariyasripong et al. 2000,555,THA,-,AF327398.1,AF327380.1,-,-,-,-
Conoideocrella,luteorostrata,Artjariyasripong et al. 2001,2692,THA,-,-,AF327388.1,-,-,-,-
Conoideocrella,luteorostrata,Barrett et. al.,BAF 1-1,USA,current study,-,current study,current study,current study,-,-
Conoideocrella,luteorostrata,Barrett et. al.,BAF 1-4,USA,-,-,current study,current study,current study,-,-
Conoideocrella,luteorostrata,Luangsa-ard et. al. 2004,BCC 9617,THA,AY624237.1,-,KJ435068.1,AY624206.1 ,-,-,-
Conoideocrella,luteorostrata,Luangsa-ard et. al. 2005,CBS 398.86,THA,AY624214.1,AY526468.1,-,AY624174.1,-,-,-
Conoideocrella,luteorostrata,Luangsa-ard et. al. 2006,CBS 510.88,THA,-,AY526467.1,-,-,-,-,-
Conoideocrella,luteorostrata,Luangsa-ard et. al. 2007,CBS 828.88,THA,AY624213.1,-,-,-,-,-,-
Conoideocrella,luteorostrata,Luangsa-ard et. al. 2008,NHJ 10998.01,THA,-,AY526469.1,-,-,-,-,-
Conoideocrella,luteorostrata,Saito et. al 2012,Kyoto-26,JPN,AB663108.1,AB649298.1,-,AB649298.1,AB663120.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2013,Kyoto-31,JPN,AB663109.1,AB649299.1,-,AB649299.1,AB663121.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2014,Kyoto-32,JPN,AB663110.1,AB649300.1,-,AB649300.1,AB663122.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2015,Mie-1,JPN,AB663117.1,AB649307.1,-,AB649307.1,AB663129.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2016,Mie-2,JPN,AB663118.1,AB649308.1,-,AB649308.1,AB663130.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2017,Mie-41,JPN,AB663119.1,AB649309.1,-,AB649309.1,AB663131.1,-,-
Conoideocrella,luteorostrata,Saito et. al 2018,Shiga-1,JPN,AB663111.1,AB649301.1,-,AB649301.1,AB663123.1,-,-
